oncDoc2, carPat1nursingItem, topics ] {oncology}, author = uid
oncDoc1, carPat1carItem, topics ] {oncology}, treatingTeam = teams
doc1, carPat2noteItem, topics ] {cardiology}, treatingTeam = teams
carDoc1, carPat2carItem, topics ] {cardiology}, treatingTeam = teams
oncDoc3, carPat1nursingItem, topics ] {cardiology}, author = uid
oncDoc2, oncPat2nursingItem, topics ] {oncology}, treatingTeam = teams
doc2, carPat1carItem, topics ] {cardiology}, treatingTeam = teams
oncDoc1, carPat2noteItem, topics ] {cardiology}, author = uid
carDoc1, oncPat2nursingItem, topics ] {cardiology}, treatingTeam = teams
anesDoc1, carPat1nursingItem, topics ] {oncology}, treatingTeam = teams
doc2, carPat2noteItem, topics ] {oncology}, author = uid
anesDoc1, oncPat1oncItem, topics ] {cardiology}, author = uid
carDoc1, oncPat2oncItem, topics ] {oncology}, treatingTeam = teams
doc1, carPat1carItem, topics ] {cardiology}, treatingTeam = teams
carNurse1, oncPat1nursingItem, topics ] {nursing}, patient = ward
oncDoc1, oncPat1oncItem, topics ] {oncology}, author = uid
doc2, oncPat1noteItem, topics ] {cardiology}, treatingTeam = teams
oncDoc1, carPat2nursingItem, topics ] {oncology}, author = uid
oncDoc3, carPat1carItem, topics ] {cardiology}, treatingTeam = teams
anesDoc1, oncPat2oncItem, topics ] {oncology}, author = uid
doc2, carPat1noteItem, topics ] {cardiology}, author = uid
carDoc2, oncPat1oncItem, topics ] {oncology}, author = uid
carDoc2, oncPat2oncItem, topics ] {cardiology}, author = uid
doc2, carPat1carItem, topics ] {oncology}, author = uid
anesDoc1, carPat2noteItem, topics ] {oncology}, treatingTeam = teams
oncDoc2, carPat1nursingItem, topics ] {cardiology}, author = uid
oncDoc3, oncPat2nursingItem, topics ] {oncology}, treatingTeam = teams
oncNurse2, oncPat2nursingItem, topics ] {nursing}, patient = ward
carDoc1, carPat1carItem, topics ] {cardiology}, author = uid
anesDoc1, carPat2carItem, topics ] {cardiology}, author = uid
oncDoc4, oncPat2oncItem, topics ] {oncology}, author = uid
oncDoc1, carPat1nursingItem, topics ] {cardiology}, treatingTeam = teams
oncDoc2, carPat2nursingItem, topics ] {cardiology}, author = uid
doc1, oncPat2noteItem, topics ] {oncology}, author = uid
carDoc1, carPat2carItem, topics ] {oncology}, treatingTeam = teams
doc1, carPat2noteItem, topics ] {oncology}, author = uid
anesDoc1, carPat2carItem, topics ] {oncology}, author = uid
carNurse2, oncPat2oncItem, topics ] {nursing}, patient = ward
doc1, carPat2nursingItem, topics ] {oncology}, author = uid
oncDoc3, oncPat1oncItem, topics ] {cardiology}, treatingTeam = teams
oncDoc3, oncPat1noteItem, topics ] {oncology}, author = uid
carDoc2, carPat2nursingItem, topics ] {oncology}, treatingTeam = teams
oncDoc2, carPat2carItem, topics ] {cardiology}, treatingTeam = teams
oncDoc2, oncPat2noteItem, topics ] {oncology}, treatingTeam = teams
doc1, oncPat2oncItem, topics ] {cardiology}, treatingTeam = teams
oncDoc3, carPat2noteItem, topics ] {oncology}, treatingTeam = teams
carDoc1, oncPat1oncItem, topics ] {cardiology}, author = uid
carDoc1, oncPat1noteItem, topics ] {cardiology}, treatingTeam = teams
oncDoc1, carPat1carItem, topics ] {oncology}, author = uid
oncDoc2, carPat1noteItem, topics ] {oncology}, author = uid
anesDoc1, oncPat1HR, treatingTeam ] teams
doc2, oncPat1oncItem, topics ] {cardiology}, author = uid
carDoc2, carPat1HR, treatingTeam ] teams
oncDoc2, carPat2carItem, topics ] {cardiology}, author = uid
anesDoc1, carPat1carItem, topics ] {cardiology}, treatingTeam = teams
carNurse2, carPat1noteItem, topics ] {nursing}, patient = ward
carDoc2, carPat2HR, treatingTeam ] teams
oncDoc3, carPat1noteItem, topics ] {cardiology}, author = uid
oncDoc1, carPat1HR, treatingTeam ] teams
doc1, carPat2noteItem, topics ] {oncology}, treatingTeam = teams
carDoc2, oncPat1nursingItem, topics ] {oncology}, author = uid
oncNurse1, carPat1nursingItem, topics ] {nursing}, patient = ward
carDoc1, carPat2nursingItem, topics ] {oncology}, treatingTeam = teams
carNurse1, oncPat1noteItem, topics ] {nursing}, patient = ward
oncDoc2, oncPat1noteItem, topics ] {cardiology}, author = uid
oncDoc4, oncPat1noteItem, topics ] {oncology}, author = uid
carDoc1, carPat1noteItem, topics ] {oncology}, treatingTeam = teams
carDoc1, carPat1carItem, topics ] {cardiology}, treatingTeam = teams
oncNurse1, carPat2nursingItem, topics ] {nursing}, patient = ward
carNurse1, oncPat1oncItem, topics ] {nursing}, patient = ward
oncDoc4, carPat1nursingItem, topics ] {oncology}, author = uid
carDoc1, oncPat2noteItem, topics ] {oncology}, treatingTeam = teams
oncDoc3, carPat2carItem, topics ] {cardiology}, treatingTeam = teams
oncDoc4, oncPat1oncItem, topics ] {cardiology}, author = uid
carDoc2, carPat1nursingItem, topics ] {oncology}, author = uid
anesDoc1, oncPat2nursingItem, topics ] {oncology}, treatingTeam = teams
oncDoc4, oncPat1nursingItem, topics ] {cardiology}, treatingTeam = teams
oncDoc1, oncPat2oncItem, topics ] {cardiology}, author = uid
oncDoc1, oncPat2oncItem, topics ] {cardiology}, treatingTeam = teams
doc2, carPat2noteItem, topics ] {cardiology}, author = uid
oncDoc1, oncPat2nursingItem, topics ] {cardiology}, treatingTeam = teams
carDoc1, oncPat2nursingItem, topics ] {cardiology}, author = uid
carDoc2, oncPat2nursingItem, topics ] {cardiology}, author = uid
anesDoc1, oncPat1noteItem, topics ] {oncology}, treatingTeam = teams
oncDoc4, oncPat1nursingItem, topics ] {oncology}, author = uid
oncDoc4, carPat1nursingItem, topics ] {oncology}, treatingTeam = teams
oncDoc2, carPat1noteItem, topics ] {cardiology}, author = uid
oncDoc3, carPat2HR, treatingTeam ] teams
carNurse1, oncPat2noteItem, topics ] {nursing}, patient = ward
doc2, oncPat2nursingItem, topics ] {oncology}, treatingTeam = teams
oncDoc4, carPat2nursingItem, topics ] {cardiology}, treatingTeam = teams
carDoc1, oncPat1HR, treatingTeam ] teams
oncDoc4, oncPat1noteItem, topics ] {cardiology}, author = uid
carNurse1, oncPat2HR, ward = ward
carDoc1, carPat1nursingItem, topics ] {oncology}, treatingTeam = teams
anesDoc1, oncPat2nursingItem, topics ] {cardiology}, author = uid
doc1, oncPat1oncItem, topics ] {cardiology}, author = uid
carDoc1, carPat1noteItem, topics ] {oncology}, author = uid
carNurse2, oncPat2noteItem, topics ] {nursing}, patient = ward
oncDoc4, carPat1nursingItem, topics ] {cardiology}, treatingTeam = teams
oncDoc3, carPat2carItem, topics ] {oncology}, author = uid
doc2, carPat2HR, treatingTeam ] teams
doc2, carPat1nursingItem, topics ] {cardiology}, author = uid
oncDoc3, oncPat1nursingItem, topics ] {oncology}, author = uid
oncDoc1, carPat2noteItem, topics ] {oncology}, author = uid
